,MWT,MF,PARENT_MWT,SMILES,SUPPLIER_NAME,CATALOG_NUMBER,CAS,CHEMICAL_NAME,MFCD,EMOLECULES_ID,mol,MFC#
34721,194.29,C11H14OS,194.29,CC(C)CSc1ccc(C=O)cc1,Crea-Chim,0,,4-(isobutylthio)benzaldehyde,MFCD04971071,853892,<rdkit.Chem.rdchem.Mol object at 0x0000020EE2411B70>,12
34764,194.31,C10H14O2Si,194.31,C[Si](C)(C)Oc1ccc(C=O)cc1,Accela ChemBio (ASD),0,,4-[(Trimethylsilyl)oxy]benzaldehyde,MFCD00040723,891265,<rdkit.Chem.rdchem.Mol object at 0x0000020EE2412670>,17
34823,195.13,C8H5NO5,195.13,[O-][N+](=O)c1cc2OCOc2cc1C=O,InterBioScreen,0,,"6-nitrobenzo[d][1,3]dioxole-5-carbaldehyde",MFCD00005829,481222,<rdkit.Chem.rdchem.Mol object at 0x0000020EE2416570>,28
35028,195.22,C13H9NO,195.22,O=Cc1ccc2[nH]c3ccccc3c2c1,Bellen Chem,0,,9H-carbazole-3-carbaldehyde,MFCD09743119,37541695,<rdkit.Chem.rdchem.Mol object at 0x0000020EE241C970>,11
35136,196.08,C7HF5O,196.08,Fc1c(F)c(F)c(C=O)c(F)c1F,Alfa Aesar (US),0,,"Pentafluorobenzaldehyde, 98+%",MFCD00003303,477840,<rdkit.Chem.rdchem.Mol object at 0x0000020EE24214F0>,33
35169,196.12,C7H4N2O5,196.12,[O-][N+](=O)c1ccc(C=O)c(c1)[N+]([O-])=O,Alfa Aesar (US),0,,"2,4-Dinitrobenzaldehyde, 98%",MFCD00013376,537098,<rdkit.Chem.rdchem.Mol object at 0x0000020EE2421D30>,18
35195,196.12,C7H4N2O5,196.12,[O-][N+](=O)c1cc(C=O)cc(c1)[N+]([O-])=O,Specs,0,,"3,5-dinitrobenzaldehyde",MFCD04971227,29542231,<rdkit.Chem.rdchem.Mol object at 0x0000020EE24283F0>,11
35249,196.18,C10H9FO3,196.18,CCOC(=O)c1ccc(C=O)c(F)c1,Activate Scientific,0,,Ethyl 3-fluoro-4-formylbenzoate,MFCD28795855,50492661,<rdkit.Chem.rdchem.Mol object at 0x0000020EE24291B0>,13
35313,196.2,C10H12O4,196.2,COc1cc(OC)c(C=O)cc1OC,Aldlab Chemicals,0,,Asarylaldehyde,MFCD00003312,480653,<rdkit.Chem.rdchem.Mol object at 0x0000020EE242C1F0>,51
35364,196.2,C10H12O4,196.2,COc1cc(OC)c(C=O)c(OC)c1,InterBioScreen,0,,"2,4,6-trimethoxybenzaldehyde",MFCD00003313,481373,<rdkit.Chem.rdchem.Mol object at 0x0000020EE242CEB0>,42
